"qubits","Energy(eV)"
 2,  -55.523726419082344
 3,  -55.523726419082344
 4,  -48.583260616697046
 5,  -52.0534935178897
 6,  -50.318377067293376
 7,  -50.318377067293376
 8,  -50.75215617994245
 9,  -50.535266623617915
10,  -50.42682184545564
11,  -50.48104423453678
12,  -50.50815542907734
13,  -50.60304460996934
14,  -50.52171102634763
15,  -50.60304460996934
16,  -50.60304460996934
18,  -50.48909287041601
20,  -50.59743174547461
22,  -50.59698165728399
